Component,CapEx ($) - Floating,CapEx ($/kW) - Floating
Array System,163913437.0,163.0979472636816
Array System Installation,225113782.15570718,223.99381309025594
Commissioning,81468853.00537455,81.0635353287309
Construction Financing,707640808.740915,704.1202077024029
Construction Insurance,162937706.0107491,162.1270706574618
Decommissioning,266159289.1092724,264.8351135415645
Export System,1130660800.0,1125.0356218905472
Export System Installation,785880027.9821634,781.97017709668
Installation Contingency,459124773.71349466,456.84057085919875
Mooring System,274917251.31899995,273.54950379999997
Mooring System Installation,47021246.45865312,46.787309909107584
Offshore Substation,265281632.5485124,263.96182343135564
Offshore Substation Installation,7464876.492969401,7.427737803949652
Onshore Substation,219200512.32730824,218.10996251473458
Procurement Contingency,330823469.40795696,329.17758150045466
Project,890000000.0,885.5721393034826
Substructure,1249828521.0099998,1243.6104686666665
Substructure Installation,265316512.4568684,263.9965298078293
Turbine,1778850000.0,1770.0
