year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1989,37154850.0,25000000.0,7661986.735346447,0.0,2065331.2,71882167.93534645
1990,37154850.0,25000000.0,9367565.860064207,0.0,2317488.0,73839903.86006421
1991,37154850.0,25000000.0,7326643.71365373,0.0,2213927.2,71695420.91365373
1992,37256644.10958904,25000000.0,5887418.854547192,0.0,1537448.8,69681511.76413622
1993,37154850.0,25000000.0,6463463.928612905,0.0,1877208.8,70495522.7286129
1994,37154850.0,25000000.0,7201640.548331569,0.0,2188036.8,71544527.34833157
1995,37154850.0,25000000.0,8011556.36012681,0.0,2427424.8,72593831.1601268
1996,37256644.10958904,25000000.0,8091878.494003139,0.0,1888344.8,72236867.40359218
1997,37154850.0,25000000.0,6798269.102936765,0.0,1818707.2,70771826.30293676
1998,37154850.0,25000000.0,7877539.634340107,0.0,1910172.8,71942562.4343401
1999,37154850.0,25000000.0,11163089.697101537,0.0,2128894.4,75446834.09710154
2000,37256644.10958904,25000000.0,7300058.168002513,0.0,1767368.8,71324071.07759157
2001,37154850.0,25000000.0,12399439.850914981,0.0,2407812.0,76962101.85091498
2002,37154850.0,25000000.0,8856895.148491975,0.0,2616899.2,73628644.34849198
2003,37154850.0,25000000.0,12310548.970742041,0.0,2244691.2,76710090.17074205
2004,37256644.10958904,25000000.0,7193935.957213032,0.0,2059588.0,71510168.06680207
2005,37154850.0,25000000.0,10891568.943646174,0.0,2287356.8,75333775.74364617
2006,37154850.0,25000000.0,7052456.0634507295,0.0,2241264.8,71448570.86345074
2007,37154850.0,25000000.0,11465723.413629232,0.0,2334983.2,75955556.61362924
2008,37256644.10958904,25000000.0,7402245.806752878,0.0,2189015.2,71847905.11634192
